P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
29373,6354,2197,1621,861,1296,694,1335,1410,874,870,1929,3225,29403,29421,29412,29430,29399,1340,1177,1784,1388,2153,3014,1274,1234,988,997,1463,1586,29460,29456
29460,6358,2179,1661,878,1305,751,1327,1410,883,861,1902,3229,29500,29438,29416,29412,29460,1379,1177,1753,1406,2162,3032,1278,1221,1010,958,1419,1538,29482,29465
29491,6380,2148,1643,861,1322,733,1300,1410,892,861,1920,3256,29478,29438,29425,29403,29412,1344,1182,1749,1362,2118,3019,1221,1173,997,971,1428,1560,29452,29491
29412,6407,2179,1625,839,1322,742,1300,1445,874,856,1942,3251,29500,29452,29504,29526,29452,1331,1146,1788,1366,2148,3058,1221,1195,979,962,1454,1564,29333,29491
29416,6385,2184,1687,878,1331,716,1309,1397,830,865,1924,3190,29447,29395,29438,29438,29438,1349,1160,1770,1401,2162,3014,1234,1199,1001,971,1423,1577,29478,29425
29416,6376,2162,1634,843,1291,703,1327,1441,848,878,1920,3212,29469,29434,29416,29386,29474,1318,1160,1744,1397,2179,3027,1221,1204,979,975,1410,1560,29474,29434
29469,6407,2166,1608,870,1313,703,1327,1432,870,914,1920,3190,29474,29452,29395,29395,29447,1340,1186,1762,1410,2126,3027,1252,1199,975,979,1415,1568,29390,29482
29456,6389,2192,1625,870,1327,755,1322,1437,852,852,1933,3247,29500,29456,29443,29443,29487,1362,1177,1766,1388,2166,3027,1256,1204,988,949,1454,1568,29337,29452
29421,6372,2188,1683,852,1283,729,1318,1450,887,848,1898,3247,29522,29434,29447,29425,29474,1340,1199,1779,1401,2175,3071,1239,1199,993,1010,1445,1560,29351,29408
29452,6389,2157,1665,856,1322,729,1305,1437,856,856,1902,3212,29443,29403,29421,29412,29412,1366,1164,1766,1379,2144,3045,1248,1208,1015,962,1419,1564,29447,29390
29474,6363,2153,1665,861,1300,716,1335,1379,896,883,1920,3238,29438,29434,29434,29395,29438,1353,1204,1766,1388,2135,3041,1248,1217,971,936,1432,1586,29434,29478
29487,6389,2153,1630,852,1349,729,1335,1423,870,861,1929,3243,29434,29377,29381,29390,29425,1313,1173,1792,1397,2148,3032,1261,1239,1028,962,1388,1586,29447,29421
29430,6389,2162,1639,852,1340,725,1313,1415,896,856,1929,3225,29460,29447,29500,29526,29434,1340,1168,1740,1384,2153,3054,1252,1217,971,988,1423,1582,29390,29399
29474,6363,2184,1661,883,1327,729,1349,1406,861,848,1924,3216,29421,29390,29438,29460,29416,1357,1186,1753,1406,2122,3010,1248,1221,984,984,1419,1590,29421,29447
29460,6380,2188,1665,874,1313,738,1296,1419,887,852,1937,3265,29518,29478,29425,29421,29496,1362,1142,1753,1401,2175,3014,1234,1199,993,958,1410,1582,29395,29456
29456,6424,2175,1647,817,1335,698,1287,1428,878,843,1920,3225,29487,29430,29456,29447,29443,1291,1190,1757,1393,2157,3041,1217,1190,962,997,1415,1555,29482,29482
29416,6407,2184,1665,852,1313,725,1318,1441,848,878,1937,3251,29491,29421,29364,29434,29430,1331,1168,1775,1393,2131,3062,1252,1239,997,984,1419,1577,29408,29482
29487,6367,2157,1652,861,1313,733,1327,1445,900,839,1924,3243,29447,29425,29469,29452,29421,1344,1182,1819,1406,2179,3032,1234,1221,975,944,1454,1555,29469,29496
29469,6380,2223,1639,887,1261,747,1300,1454,905,852,1916,3203,29430,29403,29447,29443,29412,1331,1151,1749,1379,2144,3054,1208,1221,984,1010,1423,1595,29403,29487
29460,6358,2170,1652,887,1322,742,1287,1410,892,878,1946,3247,29403,29311,29535,29518,29447,1349,1142,1731,1415,2144,3032,1212,1195,1006,1001,1423,1577,29447,29456
29452,6367,2148,1647,821,1322,694,1340,1437,874,865,1889,3238,29469,29408,29438,29452,29430,1322,1146,1806,1384,2148,3045,1239,1208,1001,962,1415,1560,29456,29469
29438,6385,2166,1683,870,1322,707,1300,1406,843,843,1959,3229,29513,29460,29452,29452,29425,1331,1177,1779,1415,2140,3036,1248,1195,993,958,1428,1564,29469,29496
29452,6394,2179,1639,865,1318,711,1309,1445,848,865,1920,3251,29491,29421,29456,29408,29447,1335,1204,1766,1432,2140,3045,1204,1230,975,993,1458,1577,29443,29518
29425,6372,2157,1674,861,1283,698,1322,1428,856,852,1929,3260,29482,29487,29399,29399,29531,1327,1151,1823,1366,2153,3027,1248,1226,984,975,1397,1560,29465,29408
29500,6394,2175,1634,878,1265,707,1340,1419,883,839,1898,3229,29456,29430,29469,29443,29381,1340,1168,1766,1349,2166,3019,1239,1234,1006,962,1445,1564,29491,29456
